id,county,category,Organization,address,Website,Phone number,Notes,country,lat,long
43,Monroe,Finacial Support,Salvation Army of Monroe County:,"1924 Flagler Ave, Key West, Florida, 33040",www.salvationarmyflorida.org,305-294-5611,"Emergency rent, utility and food assistance.",US,24.555485785714286,-81.7792050952381
44,Monroe,Finacial Support,Sister Season Fund:,"442 Fleming Street, Key West, Florida, 33040",www.sisterseason.com,305-849-0091 or 305-304-9828,"Emergency rent, utility and food assistance.",US,24.555734199226837,-81.80317635515459
46,Monroe,Finacial Support,Monroe County Stars of Hope,"5501 College Road, Key West, Florida, 33045",https://mcstarsofhope.org/, 305-481-2585,Housing and  financial support,US,24.575972645995716,-81.74958820930193
49,Monroe,Finacial Support,Florida Keys Outreach Coalition,"3154 Northside Drive, Key West, Florida, 33040",www.fkoc.org,305-295-7580 Key West 305-916-5454 Tavernier,Financial Crisis Support,US,24.567073705610586,-81.76707139566722
50,Monroe,Finacial Support,Keys Area Interdenominational Resources (KAIR):,"3010 Overseas Hwy, Marathon, Florida, 33050",www.kaironline.net,305-743-4582,"Emergency rent, utility and food assistance.",US,24.710691421392607,-81.0967691420444
51,Monroe,Finacial Support,Monroe County Social Services,"88822 Overseas Hwy, Tavernier, Florida, 33070",www.moroecounty-fl.gov,305-292-4408,"Rent, utility assistance and prescription dureg assistance.",US,25.0092936,-80.5170259
53,Miami-Dade,Health Care Access,Citrus Palm Center,"60 East 3rd Street, Hialeah, Florida, 33010",www.citrushealth.org,786-441-5330,Family Medicine,US,25.8242405,-80.2801802
54,Miami-Dade,Health Care Access,Camillus Health Concerns,"336 NW 5th Street, Miami, Florida, 33128",www.camillushealth.org,305-577-4840,"Primary Medical Care, Behavioral Health Care, Specialty Care, Imaging Service, Dental Service, Outreach Services, Substancw Abuse disorder.",US,25.7785404,-80.2004861
55,Miami-Dade,Health Care Access,JTCHS Barbara J. Jordan Community Health and Wellness Center,"20612 NW 27th Ave, Miami, Florida, 33056",www.jtchs.org,305-367-6400,"Family Practice, Dental Services,HIV/AIDS",US,25.8113813,-80.2402444
56,Miami-Dade,Health Care Access,Cirtus Health Center West,"8765 SW 165th Ave, Miami, Florida, 33193",www.citrushealth.org,786-209-2160,Family Medicine,US,25.68523325,-80.45970249232583
57,Miami-Dade,Health Care Access,Cirtus FIU Embrance Medical Center,"1645 SW 107th Ave, Miami, Florida, 33165",www.citrushealth.org,786-209-2140,Primary Care,US,25.7528875,-80.3664476
58,Miami-Dade,Health Care Access,Borinquen North Miami Geriatric Center,"12603 NE 7th Ave, North Miami, Florida, 33161",www.boringuenhealth.org,305-576-6611,Woman Services- Annual Check-up and Pap Smears,US,25.89138224489796,-80.18440434693878
59,Miami-Dade,Health Care Access,Borinquen North Miami Geriatric Center,"681 NE 125th Street, North Miami, Florida, 33161",www.boringuenhealth.org,305-576-6611,"Woman Services- Annual Check-up and Pap Smears, Cancer Screening and Treatment",US,25.8906367,-80.1848175
60,Miami-Dade,Health Care Access,Borinquen North Miami Geriatric Center,"708 NE 125th Street, Miami, Florida, 33161",www.boringuenhealth.org,305-576-6611,"Woman Services- Annual Check-up and Pap Smears, Cancer Screening and Treatment",US,25.8902985,-80.18419966666666
61,Miami-Dade,Health Care Access,Center For Haitian Studies,"8062 NE 2nd Ave, Miami, Florida, 33138",www.centerforhaitianstudies.org,305-757-9555,General Medicine,US,25.849186848484848,-80.19297157575758
63,Miami-Dade,Health Care Access,Care 4 U,"4690 NW 7th Ave, Miami, Florida, 33127",www.care4uchc.org,305-835-0101,Primary Medical Care/Screening/ Behavioral Health and Substance Abuse/Meical Case managment /Health Insurance / Referrals,US,25.81811725,-80.20819391250433
65,Miami-Dade,Health Care Access,Diana Centeno,"151 NW 11th St., Homestead, Florida, 33030",www.manispecialtycenter.com,786-743-4803,HIV/STD Clinic/ Primary Care,US,25.4813637,-80.4806999
66,Miami-Dade,Health Care Access,Department of Health,"18255 Homestead Ave, Miami, Florida, 33157",www.floridahealth.gov,305-575-3800,Primary care/Pediatrics/Behavioral Health Care/Women's Services/Dental Services/Vision,US,25.5998657,-80.3555372
67,Miami-Dade,Health Care Access,Sunhine Health,"9552 SW 160th Street, Miami, Florida, 33157",www.sunshinehealth.com,1-800-955-8770,"Long Term Care, Mental Illness and Health Insurance.",US,25.6189268,-80.3477879
68,Miami-Dade,Health Care Access,Caring for Miami Project Smile,"8900 SW 168th Street, Miami, Florida, 33157",www.themiamiproject.org,786-430-1051,Dental Service,US,25.6131891,-80.3383011
69,Miami-Dade,Health Care Access,Community Smiles Dade County,"750 NW 20th Street, Miami, Florida, 33127",www.csmiles.org,305-363-2222,Dental Service,US,25.7949771,-80.207834
70,Miami-Dade,Finacial Support,Curley House of Styles/ Hope Relief Food Bank,"6025 NW 6th Street, Miami, Florida, 33127",www.curleyshousefoodbank.org,305-759-9805,Food Bank ,US,25.7796071,-80.2046031
71,Miami-Dade,Finacial Support,Conmunity Outreach Resource Center,"824 West Palm Dr, Florida City, Florida, 33034",miami-dade.gov,305-246-0460,Food Bank,US,25.4481204,-80.4903606
73,Miami-Dade,Finacial Support,Be Strong International,"9730 E. Hibiscus Street, Miami, Florida, 33157",www.bestrongintl.org,305-969-7829,Food Bank ,US,25.6031315,-80.3491427
74,Miami-Dade,Finacial Support,Farm Share,"14125 SW 320th Street, Miami, Florida, 33033",www.farmshare.org,305-246-3276,Food Bank,US,25.4711773,-80.418483
75,Miami-Dade,Finacial Support,Harvest Fire Worship Center,"18291 NW 23rd Ave, Miami Gardens, Florida, 33056",www.harvestfireworshipcenter.com,305-620-2986,Food Distribution,US,25.9408686,-80.2390172
76,Miami-Dade,Finacial Support,Homestead Soup Kitchen,"105 SW 3rd Ave, Miami, Florida, 33030",www.homesteadsoupkitchen.com,305-245-7448,Provide meals,US,25.469194700000003,-80.48224334476535
78,Miami-Dade,Finacial Support,Camillus House,"1603 NW 7th Ave, Miami, Florida, 33136",www.camillus.org,305-374-1065,Food Assistance,US,25.7906681,-80.2066255
79,Miami-Dade,Finacial Support,Central Christian Church,"222 Menores Ave, Coral Gables, Florida, 33134",www.cccgables.org,305-446-6132,Food Assistance,US,25.758138306122447,-80.25936408163265
81,Miami-Dade,Finacial Support,City Reach Ministries,"12236 SW 128th Street, Miami, Florida, 33136",www.cityreachministries.com,305-259-7677,Food Distribution,US,25.6490077,-80.3921703
82,Miami-Dade,Finacial Support,Community Food Distribution Center,"329 NE 166th Street, Miami, Florida, 33162",www.foodbank.net,786-693-6639,Food Distribution,US,25.927684857142857,-80.19363857142858
83,Miami-Dade,Finacial Support,Miami Rescue Mission,"2015 NW 1st Ave, Miami, Florida, 33127",www.caringplaceclinic.org,305-572-2026,Housing Stability,US,25.79583345,-80.19647814999999
86,Miami-Dade,Finacial Support,Better Way,"80 NW 28th Street, Miami, Florida, 33127",www.bwom.org,305-634-3409,Housing Stability,US,25.802909624999998,-80.1966765625
87,Miami-Dade,Finacial Support,Miami Dade Public Housing,"26201 SW 139th Court, Naranja, Florida, 33032",www.miamidade.gov,305-257-0970,Housing Stability,US,25.523983,-80.417608
90,Miami-Dade,Finacial Support,Dojnia Human Resources,"1800 N. Bayshore Dr, Miami, Florida, 33132",www.dojnia.com,305-962-7313,Employment,US,25.7942149,-80.1866129
92,Miami-Dade,Finacial Support,Labor Finders Miami,"2240 NW 54th Street, Miami, Florida, 33142",www.laborfinders.com,305-545-6677,Employment,US,25.8242857,-80.2289661
93,Miami-Dade,Education,Robert Morgan,"18180 SW 122nd Ave, Miami, Florida, 33177",www.robertmorgantech.net,305-253-9920,Education,US,25.60040635,-80.39058649181665
94,Miami-Dade,Education,Dorsey Adult School,"7100 NW 17th Ave, Miami, Florida, 33147",www.dadorseytech.edu,305-693-2490,Education,US,25.8401059,-80.2272168
95,Miami-Dade,Education,Miami Beach Adult School,"1424 Drexel Ave, Miami, Florida, 33139",www.miamibeachadult.com,305-531-0451,Education,US,25.7862686,-80.13330938195384
96,Miami-Dade,Education,"Abriendo Puertas, Inc.","1401 SW 1st St, Miami, Florida, 33135",ap-od.org/home-english,305-649-6449,"Job placement, training and community education program.",US,25.772601899999998,-80.21828725
97,Miami-Dade,Education,Association for the Development of the Exceptional (ADP,"2801 North Miami Ave, Miami, Florida, 33127",www.ademiami.org,305-573-3737,Offer adult day training for persons with primary disabliity od mental retardation.,US,25.8036034,-80.1948593
98,Miami-Dade,Education,Ayuda Miami – Family Empowerment,"7144 Byron Ave, Miami Beach, Florida, 33141",www.ayudamiami.org,305-864-6885,Provide life skills program and support underserved children.,US,25.8569107,-80.1235514
99,Miami-Dade,Education,Branches – United Way Center for Financial Stability (North Dade),"11500 NW 12th Ave, Miami, Florida, 33168",www.branchesfl.org,305-442-8306,Eduction,US,25.8392052,-80.2171549
101,Miami-Dade,Education,Catalyst Miami/Public Allies Miami,"17560 NW 27th, Miami Gardens, Florida, 33056",catalystmiami.org,786-232-3008,Offer training and employment programs.,US,25.93493805,-80.24579985476069
103,Miami-Dade,Education,"Community Coalition, Inc. – Refugee Program","240 East 1st Ave., Hialeah, Florida, 33010",www.communitycoalition.info/refugee,NA,"Job placement, training and community education program.",US,25.82401363265306,-80.27944324489796
105,Miami-Dade,Neighborhood,Iglesia Universal,"500 Palm Ave, Hialeah, Florida, 33010",universalchurchusa.org,305-888-3343,Faith Based Organization,US,25.826446,-80.281561
106,Miami-Dade,Neighborhood,Triumph Church & Kingdom-God,"2229 NW 62nd St, Miami, Florida, 33147",www.triumphthechurchnational.org,305-696-8053,Faith Based Organization,US,25.831482,-80.23355508333333
107,Miami-Dade,Neighborhood,New Life Baptist Church,"5005 NW 173rd Dr, Miami Gardens, Florida, 33055",visitnewlife.net,305-624-3063,Faith Based Organization,US,25.9313501,-80.2730442
108,Miami-Dade,Neighborhood,JL (Joe) and Enid W. Demps Park - Miami-Dade County,"11350 SW 216th St, Miami, Florida, 33170",miami-dade.gov,305-235-5599,Park,US,25.5645341,-80.3769952
113,Broward,Health Care Access,Care Resource Health Center,"871 West Oakland Park Blvd., Oakland Park, Florida, 33311",careresource.org,9545677141,"Federally Qualified Healthcare Center                                                                      Primary Care, Behavioral Health, Pediatrics, Dental, and Support Services",US,26.166363680040128,-80.15407306029839
114,Broward,Health Care Access,Epilepsy Alliance Florida,"512 NE 3rd Avenue, Ft. Lauderdale, Florida, 33301",epilepsyalliancefl.org,8775537453,Epilepsy Alliance Florida is dedicated to supporting those impacted by epilepsy by confronting the spectrum of challenges created by seizures.,US,26.12824724815957,-80.14064752022053
115,Broward,Health Care Access,On the spot Dermatology mobile clinic,"154 South Compass Way, Dania, Florida, 33004",onspotdermatology.com,9543292933,Free skin cancer screenings,US,26.0501077,-80.1579981
116,Broward,Health Care Access,Dania Dermatology,"154 South Compass Way, Dania, Florida, 33004",onspotdermatology.com,9548079433,Free Skin Cancer Screenings on Thursdays,US,26.0501077,-80.1579981
118,Broward,Community,The Pride Center at Equality Park,"2040 North Dixie Highway, Wilton Manors, Florida, 33305",pridecenterflorida.org,(954) 463-9005,"Free HIV Testing – no appointment needed, Provides PrEP and LBT Health Directories",US,26.154500388825095,-80.13289423618325
119,Broward,Community,Transinclusive Group,"2038 N. Dixie Hwy, Wilton Manors, Florida, 33305",transinclusivegroup.org,(954) 903-1297,"In-home HIV testing, linkage to care (PrEP, PEP, and HIV care), referrals to STI testing and other services",US,26.154489396204777,-80.13288993138089
120,Broward,Health Care Access,Milestones Eating Disorder Program,"2525 Embassy Drive, Cooper City, Florida, 33328",milestonesprogram.org,NA,A setting and approach to treatment that offered people an opportunity to learn and practice the skills necessary to begin and maintain eating disorder recovery.,US,26.03019597668335,-80.28873793607099
121,Broward,Health Care Access,HolyCross Health,"4725 N Federal Hwy, Ft. Lauderdale, Florida, 33308",holy-cross.com,9547718009,Has a financial assistance program for qualifying patients.,US,26.2087569,-80.1076198
122,Broward,Health Care Access,Cleveland Clinic Florida Southeast (Weston),"2950 Cleveland Clinic Boulevard, Weston, Florida, 33331",my.clevelandclinic.org,9546595000,Has a financial assistance program for qualifying patients.,US,26.0825093,-80.3677958
123,Broward,Health Care Access,North Broward Hospital District/Homeless,"1101 W Broward Blvd, Ft. Lauderdale, Florida, 33312",nhchc.org/broward-health,9543554953,Primary health care and related services to individuals who are homeless in Broward County at fixed and mobile locations,US,26.122175,-80.156341
124,Broward,Community,Broward Partnership for the Homeless,"920 NW 7th Ave, Ft. Lauderdale, Florida, 33311",bphi.org,9547793990,Broward Partnership is a 501(c)(3) non-profit organization and is the largest comprehensive homeless services provider in Broward County.,US,26.135177857142857,-80.15104762244898
125,Broward,Neighborhood,The Caring Place Broward Outreach Center,"2056 Scott St, Hollywood, Florida, 33020",caringplace.org,9549267417,"Helping men, women, and children with meals, safe shelter, life-changing residential programs, employment, and housing resulting in transformed lives. ",US,26.02974075302046,-80.14858484987901
126,Broward,Community,Urban League of Broward County,"560 NW 27th Ave, Fort Lauderdale, Florida, 33311",ulbroward.org,(954) 584-0777,"The Urban League of Broward County is advancing the lives of nearly 14,000 individuals annually through six verticals of service; education, entrepreneurship, jobs, community justice, housing, and health.",US,26.1516415,-80.1787138
130,Broward,Neighborhood,Nina's Place: A Free Community Market & Pantry,"959 SE 6th Ave, Deerfield Beach, Florida, 33441",ninasplacedfb.org,(954) 421-3146,Food Pantry,US,26.30600564514912,-80.0956723061033
131,Broward,Finacial Support,A New Start,"2230 SW 70th Ave, Davie, Florida, 33317",anewstartfs.org,4083005993,Financial & Social Services,US,26.088951214395745,-80.23942743306786
132,Broward,Neighborhood,Life Net 4 Families,"1 NW 33rd Terrace, Ft. Lauderdale, Florida, 33311",lifenet4families.org,(954) 792-2328,Food Distribution Center,US,26.2017912,-80.1926232
134,Broward,Health Care Access,Broward County Health Department,"2421 SW 6th Ave, Ft. Lauderdale, Florida, 33315",broward.floridahealth.gov,(954) 467-4700,Provides STI testing and treatment services.,US,26.09229444774724,-80.14886061113182
135,Broward,Health Care Access,Broward House,"1726 SE 3rd Ave, Ft. Lauderdale, Florida, 33136",browardhouse.org,(954) 568-7373,"Specializes in HIV/AIDs care, has a Positive Healing program. Along with housing assistance and case management.",US,26.10047351182234,-80.139656
136,Broward,Health Care Access,Archways,"919 NE 13th Street, Ft. Lauderdale, Florida, 33304",archways.org,(954) 763-2030,"Provides mental health, substance use, case management, employment and residential services.",US,26.142547673469387,-80.1346317755102
137,Broward,Health Care Access,Banyan Health,"1061 W. Oakland Park Blvd, Oakland Park, Florida, 33311",banyanhealth.org,(954) 327-4060,Provides mental health and substance use services.,US,26.166002466060792,-80.15617448176997
139,Broward,Community,SunServe Counseling,"2312 Wilton Drive, Wilton Manors, Florida, 33305",sunserve.org,(954) 764-5150,Holds individual and group counseling along with LGBTQ services.,US,26.157540920738807,-80.13595839055536
140,Broward,Health Care Access,Pride Institute – Fort Lauderdale Hospital,"1601 E Las Olas Blvd, Ft. Lauderdale, Florida, 33301",pride-institute.com,(877) 774-3346,"Provides substance abuse services, along with LGBTQ services. Also provides service for HIV and chronic illness.",US,26.119486,-80.127053
141,Broward,Community,Goodman Jewish Family Services,"5890 S. Pine Island Rd, Davie, Florida, 33328",jfsbroward.org/services/domestic-abuse,(954) 560-8303,"Addresses immediate physical, financial, and emotional needs. Safety plan, relocation, programs to teach self-advocacy and self-sufficiency.",US,26.045800944353683,-80.25956122338876
144,Broward,Community,North East Focal Point Senior Center,"227 NW 2nd Street, Deerfield Beach, Florida, 33441",NA,9544804460,"Provides supportive services to individuals age 60 and above, helping to improve their independence and encourage their involvement with the community",US,26.3204283,-80.126739
147,Broward,Community,HOPE Outreach,"4700 SW 64th Avenue, Davie, Florida, 33314",hopeoutreachfl.org,9543210909,Offers food pantry services,US,26.06315,-80.231945
148,Broward,Education,YMCA of Broward County Corporate Office,"900 SE 3rd Avenue, Ft. Lauderdale, Florida, 33316",NA,9543349622,"Provides community programs and services that build healthy spirits, minds and bodies",US,26.111163,-80.140054
149,Broward,Community,Feeding South Florida,"2501 SW 32nd Terrace, Pembroke Park, Florida, 33023",feedingsouthflorida.org,9545181818,Food Bank - distributes to food pantries and homeless shelter,US,25.988132966202784,-80.17422764503546
150,Broward,Finacial Support,Jubilee Center of Broward County,"2020 Scott Street, Hollywood, Florida, 33020",jubileebroward.org,9549200106,Provides Service to the poor and homeless of Broward County,US,26.029749700833246,-80.1479658717709
151,Broward,Community,Our Father’s House Soup Kitchen,"2380 Martin Luther King Boulevard, Pompano Beach, Florida, 33066",ofhsoupkitchen.org,9549687550,Dedicated to feeding and clothing the hungry in Broward County.,US,26.24506942314022,-80.15487191369438
152,Broward,Community,Pantry of Broward,"610 NW 3rd Avenue, Ft. Lauderdale, Florida, 33311",thepantryofbroward.org,9543581481,Offers food pantry services for senior citizens over 60,US,26.129899680599763,-80.14672601723036
153,Broward,Community,St. Laurence Chapel,"1698 Blount Road, Pompano Beach, Florida, 33069",NA,9549722958,"A day shelter for the homeless offering breakfast and lunch, showers, clean clothing and other services",US,26.252046567681337,-80.16375215150359
154,Broward,Finacial Support,Second Chance Society,"1835 SE 4th Avenue, Fort Lauderdale, Florida, 33316",secondchancesociety.org,9547635999,Provides the small things that matter for so many that have nothing,US,26.097986654285485,-80.13881352578436
155,Broward,Community,United Way of Broward County,"1300 S. Andrews Avenue, Fort Lauderdale, Florida, 33316",unitedwaybroward.org,9544624850,To improve the lives of individuals and families in Broward County,US,26.105901,-80.142908
156,Broward,Community,Pat Larkin Center,"520 Martin Luther King Boulevard, Pompano Beach, Florida, 33060",parks.pompanobeachfl.gov/facilities/e-pat-larkins-community-center,9547864585,Serves as a food pantry for program participants,US,26.23413943165006,-80.12964333805101
157,Broward,Community,The Cooperative Feeding Program,"1 NW 33rd Terrace, Lauderhill, Florida, 33311",NA,9547922328,"Provides counseling, support and distributes meals",US,26.121393,-80.190696
158,Broward,Community,"CHILDREN OF INMATES, INC.","1835 East Hallandale Beach Boulevard, Hallandale, Florida, 33009",NA,(888) 757-5439,"Child Guidance, Families of Inmates Support Groups, Food Banks/Food Distribution Warehouses",US,25.986673,-80.1288996
160,Broward,Finacial Support,RESPECT LIFE,"4747 Hollywood Boulevard, Hollywood, Florida, 33021",respectlifemiami.org/pregnancy-help-centers,(954) 963-2229,"Provides free pregnancy tests, limited ultrasounds to pregnant and new mothers, free counseling, support groups and material assistance (diapers, baby food, clothing) to pregnant women who may be contemplating abortion.",US,26.0103703,-80.1936094
161,Broward,Community,2-1-1 BROWARD,"250 NE 33rd Street, Oakland Park, Florida, 33334",211-broward.org,(954) 537-0211,2-1-1 Broward is a 24/7 comprehensive agency in the county that provides individuals and families with all of the critical connections to health and human service agencies and programs they need.,US,26.16887684848485,-80.1437564848485
162,Broward,Community,ADVOCATE2CREATE - NORTH,"3874 Sheridan Street, Hollywood, Florida, 33021",advocate2create.com,(305) 204-7764,"A2C provides individual and family counseling services, assisting those struggling with adjustment to life events such as grief and loss, trauma, anxiety and depression.",US,26.03268690731885,-80.18258524076326
163,Broward,Health Care Access,AHF - POSITIVE HEALTH CARE,"700 SE 3rd Avenue, Fort Lauderdale, Florida, 33316",aidshealth.org,(954) 767-0271,Positive Healthcare/Florida is the first program of its kind in the United States specifically designed for Medicaid patients with HIV/AIDS.,US,26.112933,-80.140093
164,Broward,Health Care Access,AMERICAN HEART ASSOCIATION OF GREATER MIAMI/FORT LAUDERDALE,"4000 Hollywood Boulevard, Hollywood, Florida, 33021",americanheart.org,(954) 364-5000,"To support its mission to reduce disability and death from cardiovascular disease and stroke, the Association engages in cardiovascular science and research, education and community programs and revenue generation.",US,26.010559800000003,-80.1836114195311
165,Broward,Neighborhood,SOUTH FLORIDA COMMUTER SERVICES - GUARANTEED RIDE HOME,"5450 NW 33rd Avenue, Fort Lauderdale, Florida, 33309",1800234ride.com/guaranteed-ride-home/what-is-the-guaranteed-ride-home-grh-program/,(800) 234-7433,"The guaranteed a ride Home (GRH) program provides free taxi or Lyft rides service for registered commuters that work or attend college in Broward, Miami-Dade, and Palm Beach counties in the event of an unexpected emergency 24 hours a day, seven days a week.",US,26.19466247958059,-80.19267881789652
166,Broward,Neighborhood,SOUTH FLORIDA REGIONAL TRANSPORTATION AUTHORITY - TRI-RAIL,"801 NW 33rd Street, Pompano Beach, Florida, 33064",tri-rail.com,(800) 874-7245,Tri-Rail serves 19 stations from Miami International Airport to Mangonia Park.,US,26.27139048989899,-80.13345272727273
167,Palm Beach,Health Care Access,Foundcare Palm Springs West Palm Beach Community Health Center,"2330 South Congress Avenue, Palm Springs, Florida, 33406",foundcare.org,5614327903,Sliding Scale Financial assistance,US,26.6418075,-80.08760229380776
168,Palm Beach,Health Care Access,Health Care District,"1515 N. Flagler Drive., West Palm Beach, Florida, 33401",hcdpbc.org,5616421000,The specialty benefits are available to uninsured residents of Palm Beach County who do not qualify for any other public assistance health coverage program and who meet income and residency requirements.,US,26.72660022282683,-80.05056963903384
171,Palm Beach,Health Care Access,Genesis Community Health,"600 S. Dixie Highway, Boca Raton, Florida, 33432",gencomhealth.org,5617357553,"Offers sliding scale assistance for the uninsured. Family Practice, Pediatrics, Behavioral Health
",US,26.344318,-80.088601
173,Palm Beach,Health Care Access,Jupiter Medical Center,"1210 S. Old Dixie Hwy, Jupiter, Florida, 33458",jupitermed.com,5612634440,Has a financial assistance program for qualifying patients.,US,26.9216452,-80.0973655
174,Palm Beach,Community,Compass Community Center LGBTQ,"201 N Dixie Hwy, Lake Worth Beach, Florida, 33460",compasslgbtq.com,(561) 533-9699,"Provides HIV, Mental Health, and Youth groups for the LBTQ community.",US,26.5990206,-80.0560244
175,Palm Beach,Neighborhood,Homeless Shelter/ Family Promise,"112 SE 10th Street, Delray Beach, Florida, 33483",familypromisespbc.org,5613188864,Empowering families in making their transition from homelessness to sustainable independence.,US,26.446958,-80.07175651020408
176,Palm Beach,Education,Guatemalan Maya Resource Center,"1776 Lake Worth Rd, Lake Worth Beach, Florida, 33460",guatemalanmaya.org,7863070040,"Early-Childhood Education, Family Education and Assistance, and Advocacy",US,26.6167895,-80.0651451
177,Palm Beach,Finacial Support,El Sol Resource Center,"106 Military Trail, Jupiter, Florida, 33458",friendsofelsol.org,(561) 745-9860,"Labor Program,  Family Education and Assistance, Food and Nutrition",US,26.9339623,-80.1018491
178,Palm Beach,Finacial Support,The Lords Place Family Housing,"2808 N Australian Ave, West Palm Beach, Florida, 33407",thelordsplace.org,(561) 494-0125,Supportive Housing,US,26.738320134540857,-80.06835115422942
179,Palm Beach,Health Care Access,"Drug Abuse Foundation, Half Way House","400 S. Swinton ave, Delray Beach FL., Florida, 33444",dafpbci.org,(561) 278-0000,Drug Recovery,US,26.454215,-80.073034
